,,fidelity,fidelity,valid_portion,valid_portion
,,mean,std,mean,std
address,select,,,,
++,False,0.5951780239484739,0.019556624209931782,1.0,0.0
++,True,0.7502357031958428,0.01785744449198338,0.6590888483368308,0.012465180152593361
+0,False,0.648030318793293,0.03176098641012816,1.0,0.0
+0,True,0.7678129226348998,0.022061285648395948,0.6574366759218997,0.009844351905737818
+1,False,0.6151742789591353,0.022525949231272425,1.0,0.0
+1,True,0.7671403242968089,0.024841155246839986,0.6827026987129987,0.006784369965812093
0+,False,0.6662774631328551,0.0207206462822253,1.0,0.0
0+,True,0.806292636660591,0.019042800344109694,0.6704829094402833,0.015210169824252433
0+,noresponesebranch,0.7071383890843957,0.022611069221035583,0.8118850733578435,0.009113144348256465
0+,responsebranch,0.7795841077734389,0.017713887809157888,0.8018396011302418,0.012273952502421963
00,False,0.7037672115467855,0.017012850368423302,1.0,0.0
00,True,0.7803508818475894,0.018358498391273837,0.6693455697999743,0.018645754377726812
01,False,0.7064206258262931,0.019134448848136414,1.0,0.0
01,True,0.8029473877690818,0.02491862883649327,0.6777175482073806,0.016822342398372298
1+,False,0.6522409952135001,0.02340195612238977,1.0,0.0
1+,True,0.7991378025370278,0.02591709506383723,0.6534530325151028,0.011661919174254866
1+,noresponesebranch,0.7095790877799769,0.024334220794422868,0.8156660898029187,0.009151758223570578
1+,responsebranch,0.7564389610828595,0.02503256607256469,0.774879411314821,0.00926894312885384
10,False,0.7019035540736721,0.010153777872384282,1.0,0.0
10,True,0.7914425105912365,0.016995959302864905,0.6832630544996164,0.010735132535430136
11,False,0.6870686489783503,0.017749660100883535,1.0,0.0
11,True,0.8261899096627734,0.02003496244421579,0.6294015923420895,0.010927456486412093
